ilju_a,ilju_b,케미_점수,케미_타입,종합_분석,연애_스타일,주의_포인트,럭키_데이트,생성시각
甲子(갑자),丁卯(정묘),88,갓생 시너지 커플,든든한 고목나무 같은 갑자님과 통통 튀는 불꽃 같은 정묘님의 만남! 갑자의 차분한 에너지가 정묘의 열정을 더 밝게 비춰주는 갓벽한 서포트 조합이에요. 서로가 서로를 성장시키는 '기운 몰아주기'가 가능해서 함께 있을 때 운의 흐름이 리드미컬해지는 텐션 세계관을 자랑합니다.,세련된 도시남녀의 정석! 갑자님의 어른스러운 배려에 정묘님의 귀여운 플러팅이 더해져 지루할 틈 없는 설렘 가득한 데이트 바이브를 형성해요.,둘 다 매력 넘치는 '인싸'라 가끔 자기만의 시간이 필요할 수 있어요. 서로의 개인 루틴을 존중해주면 신뢰도 200% 상승하며 찐사랑 모드 유지 가능!,"LP 바, 야경 드라이브, 전시회 투어",2026-03-06 23:52:52
甲子(갑자),壬申(임신),96,무한 확장 커플,시원한 강물(임신)이 거대한 나무(갑자)에게 끊임없이 에너지를 공급해 주는 '성공 보장' 시너지 미쳤다! 서로가 서로를 더 넓은 세상으로 이끌어주는 소울메이트 각이에요. 물 흐르듯 유연한 소통에 단단한 지지가 더해져 함께 있으면 텐션 세계관이 무한대로 확장되는 천생연분 바이브!,지적인 대화가 끊이지 않는 힙한 브레인 연애! 트렌디한 팝업 스토어를 털거나 커리어 고민을 나누며 함께 성장하는 '갓생' 커플 분위기 뿜뿜해요.,둘 다 에너지가 넘쳐서 가끔은 과속할 수 있어요! 가끔은 멍 때리는 힐링 타임으로 밸런스만 맞춰주면 더 완벽한 찐사랑 완성!,"팝업 스토어, 요트 투어, 북카페 데이트",2026-03-06 23:53:39
甲子(갑자),丁丑(정축),92,퐁당 힐링 케미,차분하고 듬직한 갑자 나무와 따뜻한 온기를 품은 정축 대지의 만남! 서로가 서로에게 안식처가 되어주는 시너지 미쳤다! 갑자의 깊은 생각에 정축의 안정감이 더해져 정서적 유대감이 꽉 찬 소울메이트 각이에요. 함께 있으면 세상 편안한 무드가 흐르는 텐션 세계관 완성!,화려한 것보다 소소하지만 확실한 행복을 추구하는 '저속 노화' 바이브! 깊은 대화를 나누며 감성을 충전하는 잔잔하고 따스한 데이트가 주를 이뤄요.,둘 다 신중한 편이라 가끔은 밀당 천재처럼 과감한 표현이 필요해요! 먼저 '사랑해'라고 말해주는 센스만 발휘하면 찐사랑 텐션 폭발!,"와인 바, 공원 산책, 도자기 공방",2026-03-06 23:54:32
甲子(갑자),壬午(임오),82,단짠단짠 케미,차분한 숲속의 나무 갑자와 다이내믹한 파도 위의 태양 임오의 만남! 서로 정반대의 매력에 끌려 텐션 세계관이 요동치는 중이에요. 차가운 물과 뜨거운 불이 만나 안개를 만드는 것처럼 몽환적이고 치명적인 시너지가 미쳤다! 서로의 부족함을 채워주는 완벽한 상보적 관계예요.,예측 불가한 도파민 파티 바이브! 갑자의 진중함에 임오의 화려한 센스가 더해져 매일이 축제 같은 느낌이에요. 밀당 천재들의 심장 쫄깃한 연애 스타일!,서로 표현 방식이 달라서 가끔 '동상이몽' 할 수 있어요. 솔직한 대화로 주파수만 맞추면 세상에 둘도 없는 독보적 찐사랑 완성!,"루프탑 파티, 서핑 레슨, 재즈 바",2026-03-06 23:55:30
甲子(갑자),丁亥(정해),94,운명적 힐링 케미,차가운 밤바다의 보석 같은 정해님과 푸른 나무 갑자님이 만난 소울메이트 각! 정해님의 따뜻한 촛불 에너지가 갑자님의 뿌리를 따스하게 감싸주니 안정감 미쳤다! 서로의 감성을 찰떡같이 알아채는 텐션 세계관 덕분에 대화만 해도 도파민 대신 옥시토신 폭발하는 역대급 시너지 커플이에요.,새벽 두 시 감성 터지는 딥토크와 포근한 홈데이트 바이브! 서로의 취향을 공유하며 세상에서 가장 편안한 우리만의 아지트를 만드는 몽글몽글한 연애 스타일이에요.,둘 다 생각이 깊어서 가끔은 고민에 빠질 수 있어요. 그럴 땐 맛있는 거 먹으러 가는 단순함 한 스푼만 더하면 찐사랑 텐션 무한 유지 가능!,"심야 영화, LP 청음실, 코지한 북카페",2026-03-06 23:56:22
甲子(갑자),壬辰(임진),98,우주급 성장 케미,"큰 바다를 품은 흑룡 임진님과 곧게 뻗은 고목 나무 갑자님의 만남이라니, 이건 뭐 거의 세계관 최강자 조합! 임진의 무한한 에너지가 갑자의 꿈을 쑥쑥 키워주는 상생 시너지 미쳤다! 서로가 서로에게 기회이자 행운이 되어주는 소울메이트 각이라 함께 있으면 운빨까지 폭발하는 텐션이에요.",스케일이 남다른 플렉스 연애 바이브! 같이 새로운 비즈니스를 구상하거나 힙한 핫플 정복에 나서는 등 서로의 야망을 리스펙트하며 성장하는 갓생 커플 분위기예요.,가끔은 서로 리더가 되려다 귀여운 고집을 부릴 수 있어요! '먼저 사과하는 쪽이 찐사랑'이라는 룰만 정해두면 무적의 케미 폭발!,"럭셔리 호캉스, 테크 전시회, 인피니티 풀",2026-03-06 23:57:02
甲子(갑자),丁酉(정유),85,블링블링 케미,차분한 숲의 군주 갑자님과 반짝이는 보석 같은 정유님의 만남! 정유님의 센스 넘치는 불꽃이 갑자님의 성장에 기분 좋은 자극을 주는 시너지 미쳤다! 서로의 결이 다르기에 오히려 보완해 주며 텐션 세계관을 확장하는 매력적인 커플이에요. 함께 있으면 은근히 럭셔리한 분위기가 흐르는 찐사랑 각!,각자의 커리어를 리스펙트하면서도 데이트할 땐 확실하게 폼 나는 스타일! 힙한 와인바에서 깊은 대화를 나누거나 서로의 오오티디를 칭찬해 주는 세련된 바이브예요.,둘 다 자기 주관이 뚜렷해서 밀당 천재 모드가 발동될 수 있어요! 가끔은 팩폭보다는 따뜻한 리액션 한 스푼만 더해주면 케미 폭발 확정!,"파인다이닝, 향수 공방, 야경 루프탑",2026-03-06 23:57:59
甲子(갑자),壬寅(임인),92,파워 성장 케미,푸른 나무 갑자와 시원한 강물 임인이 만난 '수생목' 시너지 미쳤다! 서로가 서로를 키워주는 갓생 소울메이트 각이에요. 임인님의 무한한 수분 공급 덕분에 갑자님이 더 멋지게 뻗어 나갈 수 있는 텐션 세계관! 함께 있으면 운의 흐름이 고속도로를 탄 것처럼 막힘없이 시원해지는 환상의 팀워크입니다.,서로의 커리어와 꿈을 열렬히 응원하는 힙한 파트너 바이브! 카페에서 각자 작업하다가 눈 마주치면 웃음 터지는 쿨하면서도 다정한 데이트 분위기가 매력적이에요.,둘 다 에너지가 넘쳐서 가끔은 앞만 보고 달릴 수 있어요! 가끔은 넷플릭스 보며 멍 때리는 '쉼표 타임'만 챙겨주면 찐사랑 텐션 영원히 박제 가능!,"대형 카페 투어, 도심 산책, 팝업 스토어",2026-03-06 23:58:48
甲子(갑자),丁未(정미),88,갓벽 보완 케미,"큰 나무(甲)와 따뜻한 모닥불(丁)의 만남! 차분하고 속 깊은 갑자님이 중심을 잡아주면, 통통 튀는 정미님이 텐션을 업시켜주는 환상의 밸런스예요. 서로 다른 온도가 만나 오히려 정서적 안정감이 미쳐버린 소울메이트 각! 한쪽이 흔들려도 다른 쪽이 든든한 버팀목이 되어주니 에너지가 무한 생성되는 찐시너지 커플입니다.",서로의 다름을 리스펙하는 힙한 바이브! 갑자님의 츤데레 매력과 정미님의 비글미가 만나면 영화 한 편 뚝딱이에요. 말 안 해도 통하는 텔레파시 연애가 가능함!,갑자님의 진지함과 정미님의 열정이 부딪힐 땐 잠시 각자의 시간을 갖는 센스! 서로의 쿨타임을 존중해주면 관계의 깊이가 더 딥해지는 성장형 연애 완성!,"LP 바 투어, 야경 캠핑, 전시회 데이트",2026-03-06 23:59:32
甲子(갑자),壬子(임자),92,딥블루 오션 케미,시원한 바다(壬)가 든든한 나무(甲)에게 무한 에너지를 공급하는 갓벽 서사! 둘 다 차분한 '子' 에너지를 공유해서 말 안 해도 통하는 텔레파시 폼 미쳤다. 임자님의 힙한 통찰력이 갑자님의 성장을 이끌어주는 시너지 폭발 조합이에요. 함께 있으면 세상 차분해지면서도 서로에게만 몰입하는 텐션 세계관이 예술!,차분한데 힙한 '무채색 감성' 그 자체. 시끄러운 핫플보다는 우리만의 아지트에서 깊은 대화를 나누는 스무스한 바이브예요.,가끔은 속마음을 ‘텍스트’로 정확히 표현해주기! 서로 너무 잘 알아서 생략하는 대화만 채우면 신뢰도 999% 소울메이트 확정!,"심야 드라이브, 재즈 바, 비 오는 날 호캉스",2026-03-07 00:00:19
