ilju_a,ilju_b,케미_점수,케미_타입,종합_분석,연애_스타일,주의_포인트,럭키_데이트,생성시각
甲子(갑자),戊辰(무진),88,성장형 갓생커플,곧게 뻗은 나무(甲)와 넓고 든든한 대지(戊)의 만남! 갑자님에게 무진님은 존재 자체로 안식처이자 기회의 땅이에요. 자수와 진토가 만나 촉촉한 습기를 머금으니 사랑이 무럭무럭 자라는 시너지 미쳤다! 서로의 꿈을 응원하며 함께 레벨업하는 갓생 메이트 각이에요.,든든한 지지 속에서 피어나는 텐션! 무진님이 듬직하게 리드하면 갑자님이 창의적인 아이디어로 분위기를 반전시켜요. 안정감과 설렘이 공존하는 클래식하면서도 세련된 연애 스타일입니다.,가끔은 고집 배틀 금지! 서로의 선 넘지 않는 리스펙만 더해진다면 세상 어디에도 없는 무적의 소울메이트가 될 수 있어요. 대화로 풀면 케미 폭발!,"식물원 카페, 등산, 갤러리 투어",2026-03-06 23:53:02
甲子(갑자),癸酉(계유),92,촉촉 힐링 케미,푸른 나무 갑자님과 맑은 이슬 계유님의 만남은 그야말로 시너지 미쳤다! 계유님이 뿜어내는 섬세한 에너지가 갑자님을 무한 성장시키는 텐션 세계관이에요. 서로가 서로에게 영감을 주는 소울메이트 각이라 같이 있을수록 멘탈이 정화되는 느낌을 받을 거예요.,"세상 힙하고 감성적인 바이브! 대화가 끊이지 않는 티키타카는 물론, 서로의 취향을 공유하며 전시회를 보러 가거나 감성 카페에서 인생샷 건져주는 찐사랑 스타일이에요.","둘 다 에너지가 섬세해서 가끔은 예민해질 수 있지만, 이건 서로를 너무 아끼는 마음 때문! 솔직한 감정 공유로 밀당 천재가 되어보세요. 표현할수록 케미 폭발!","LP 바, 비 오는 날 드라이브, 감성 전시회",2026-03-06 23:53:42
甲子(갑자),戊寅(무인),82,파워 성장형 케미,자유로운 나무 갑자님과 듬직한 산 무인님의 만남! 서로의 성장을 자극하는 에너지가 대박이에요. 무인님의 리더십에 갑자님의 유연함이 더해지면 못 할 게 없는 무적의 시너지 미쳤다! 서로를 존중하며 함께 정상으로 향하는 텐션 세계관입니다.,서로의 커리어를 응원하며 데이트하는 '갓생' 커플 바이브! 같이 있을 때 묘한 긴장감과 열정이 넘쳐서 권태기 틈이 없는 찐사랑 스타일이에요.,둘 다 에너지가 강해서 가끔은 주도권 밀당 천재가 될 수 있어요! 서로의 영역을 인정해 주는 쿨한 리스펙만 챙기면 더 견고해질 거예요.,"루프탑 바, 테니스 클래스, 서점 데이트",2026-03-06 23:54:27
甲子(갑자),癸未(계미),85,단짠 힐링 케미,푸른 나무 갑자님과 촉촉한 단비 계미님의 만남! 계미님이 갑자님의 뿌리를 섬세하게 챙겨주니 정서적 안정감 시너지 미쳤다! 서로 다른 온도차가 오히려 묘한 중독성을 부르는 텐션 세계관이에요. 함께 있으면 세상 무해한 댕냥이 커플 모먼트가 뿜뿜하는 소울메이트 각입니다.,포근하고 몽글몽글한 바이브! 화려한 곳보다는 우리만의 아지트에서 깊은 대화를 나누는 걸 선호해요. 은근한 밀당 천재들이라 지루할 틈 없는 찐사랑 스타일입니다.,가끔 서로의 속마음을 추측하기보다 쿨하게 공유해 보세요! 각자의 시간을 리스펙해 주는 '따로 또 같이' 스킬만 장착하면 더 완벽한 갓생 커플 등극!,"만화 카페, 심야 영화, 호캉스",2026-03-06 23:55:10
甲子(갑자),戊子(무자),80,운명적 거울 케미,똑같은 '자수' 에너지를 품은 두 사람! 서로를 보는 순간 '어? 나랑 좀 닮았는데?' 싶은 운명적 이끌림이 느껴지는 소울메이트 각이에요. 갑자님의 당당함과 무자님의 실속 있는 바이브가 만나면 현실과 이상을 다 잡는 시너지 미쳤다! 서로의 마음을 누구보다 잘 읽어내는 텐션 세계관입니다.,말하지 않아도 통하는 텔레파시 연애! 굳이 화려하게 꾸미지 않아도 함께 있을 때 가장 나다워지는 편안한 바이브예요. 소소한 일상을 공유하며 찐사랑을 확인하는 스타일입니다.,둘 다 생각이 많아질 땐 가끔 동굴로 들어갈 수 있어요. 그럴 땐 서운해하기보다 '혼자만의 충전 시간'을 쿨하게 리스펙해 주는 센스! 이것만 지키면 밀당 천재 등극!,"와인 바, 야간 드라이브, 홈시네마",2026-03-06 23:56:04
甲子(갑자),癸巳(계사),95,갓벽 상생 케미,"시원한 나무 갑자님과 영리한 이슬 계사님의 만남은 그야말로 시너지 미쳤다! 계사님이 갑자님에게 꼭 필요한 비타민 같은 에너지를 공급해주니 서로를 빛나게 하는 텐션 세계관이에요. 따뜻한 햇살 아래 나무가 쑥쑥 자라는 것처럼, 함께 있으면 인생의 정답을 찾아가는 소울메이트 각입니다.",지적이면서도 힙한 바이브! 같이 최신 팝업스토어를 돌거나 사회 이슈로 토론해도 티키타카가 폭발하는 스타일이에요. 서로의 센스에 반해버리는 찐사랑 데이트가 일상!,둘 다 머리가 너무 좋아서 가끔은 수싸움하는 밀당 천재 모드일 때가 있죠? 가끔은 계산기 두드리지 말고 직진 고백 한 번이면 케미 폭발 확정!,"팝업스토어 투어, 재즈바, 커스텀 클래스",2026-03-06 23:57:00
甲子(갑자),戊戌(무술),78,단단한 성장 커플,쭉 뻗은 나무 갑자님과 드넓은 황금빛 언덕 무술님의 만남! 갑자님이 무술님이라는 든든한 터전을 만나 뿌리를 내리는 텐션 세계관이에요. 서로 다른 성격이 오히려 서로의 빈틈을 꽉 채워주는 시너지 미쳤다! 함께 있으면 현실적인 목표까지 갓생으로 이뤄내는 소울메이트 각입니다.,안정감 100% 으른 연애 바이브! 무술님이 묵직하게 중심을 잡아주면 갑자님이 톡톡 튀는 아이디어로 활력을 불어넣어요. 신뢰를 바탕으로 한 찐사랑 스타일입니다.,둘 다 은근 자기 주관이 뚜렷한 밀당 천재들이라 고집 부릴 땐 귀여운 양보 한 번씩만! 유연하게 소통하면 애정 지수 무한대로 폭발할 거예요.,"궁궐 산책, 대형 카페 투어, LP 청음",2026-03-06 23:57:49
甲子(갑자),癸卯(계묘),94,수분 충전 케미,큰 나무 갑자님과 촉촉한 단비 계묘님의 만남은 그야말로 시너지 미쳤다! 계묘님이 뿜어내는 다정한 에너지가 갑자님을 무한 성장시키는 텐션 세계관이에요. 서로가 서로의 활력소가 되어주는 소울메이트 각이라 같이 있을수록 생기가 도는 갓생 커플 등극 확정입니다.,몽글몽글하고 귀여운 바이브! 계묘님의 섬세한 챙김에 갑자님이 든든한 버팀목이 되어주는 찐사랑 스타일이에요. 소소한 대화만으로도 도파민 터지는 티키타카가 특징입니다.,둘 다 에너지가 넘쳐서 가끔은 감정 과잉 주의! 서로의 선을 지켜주는 리스펙 한 스푼만 더하면 세상 어디에도 없는 밀당 천재 커플이 될 수 있어요.,"플라워 원데이 클래스, 식물원 산책, 인생네컷",2026-03-06 23:58:30
甲子(갑자),戊申(무신),88,갓생 커플,듬직한 소나무 갑자(A)와 단단한 바위 무신(B)의 만남! 갑자의 부드러운 리더십을 무신이 힙하게 서포트해 주는 구조예요. 수(水)와 금(金)의 기운이 서로를 밀어주고 당겨주니 같이 있으면 텐션이 수직 상승! 서로의 부족한 바이브를 채워주며 성공을 향해 달려가는 시너지 미친 갓생 소울메이트 각입니다.,"서로의 커리어를 응원하며 성장하는 쿨한 바이브. 대화가 잘 통하는 지적인 데이트를 즐기며, 가끔은 깊은 속마음까지 공유하는 찐사랑 모먼트가 가득해요.",둘 다 자기 주관이 뚜렷한 편! 가끔은 고집부리기보다 상대방의 스웨그를 먼저 인정해 주세요. 유연한 소통 한 스푼만 더하면 세상 무적의 케미 완성!,"전시회 관람, 조용한 와인바, 독서 모임",2026-03-06 23:59:14
甲子(갑자),癸丑(계축),95,스며드는 케미,"푸른 나무 갑자(A)와 촉촉한 단비 계축(B)의 만남! 계수가 갑자를 끊임없이 서포트하고, 지지의 자축합이 시너지를 폭발시키는 찰떡궁합이에요. 서로의 세계관에 자연스럽게 스며드는 느낌이라 같이 있으면 정서적 안정감이 미쳤다 소리 절로 나옴! 서로가 서로에게 행운의 부적이 되어주는 소울메이트 각입니다.",차분하면서도 몽글몽글한 힐링 바이브. 굳이 말하지 않아도 서로의 기분을 찰떡같이 알아채는 텔레파시 데이트가 일상이에요.,가끔은 서로 너무 편해서 속마음을 숨길 수도! 사소한 서운함도 귀엽게 공유해주면 우리 사이 텐션은 평생 고공행진 가능해요.,"LP 바, 심야 영화, 호캉스",2026-03-07 00:00:08
