card_name,card_en,position,한줄_키워드,해설_텍스트,어드바이스,럭키_에너지,생성시각
소드 기사,Knight of Swords,정위치,갓생 풀액셀,"지금 유니버스가 당신에게 주는 시그널은 '망설임 삭제'예요. 고민은 배송만 늦출 뿐! 소드 기사의 에너지는 생각하는 즉시 몸이 먼저 반응하는 짜릿한 바이브거든요. 복잡한 생각은 잠시 비우고 당신의 직관을 믿고 돌진해 보세요. 지금 당신의 앞길을 막을 수 있는 건 아무것도 없어요. 목표를 향해 풀액셀 밟는 당신, 이미 그 자체로 너무 힙하고 멋진걸요?",재지 말고 일단 GO! SNS에 계획을 선포하거나 지금 바로 그 사람에게 연락해 보세요. 스피드가 곧 당신의 경쟁력이 될 거예요. 셀프러브는 추진력에서 나옵니다.,일렉트릭 블루,2026-03-07 10:57:39
소드 9,9 of 소드,역위치,굿바이 불면증,새벽까지 너를 괴롭히던 생각의 늪에서 드디어 로그아웃할 시간! 소드 9 역위치는 이제 그만 눈을 뜨고 현실의 빛을 보라는 유니버스의 시그널이야. 억눌렸던 바이브가 해소되면서 머릿속을 복잡하게 했던 걱정들이 사실은 별거 아니었다는 걸 깨닫게 될 거야. 이건 단순한 휴식이 아니라 진정한 멘탈 리셋 타임! 무거웠던 에너지를 털어내고 나면 더 맑은 시야가 기다리고 있어.,오늘 밤은 비행기 모드로 전환하고 딥슬립하기. 걱정 인형은 이제 은퇴시켜도 돼! 셀프러브를 위한 따뜻한 차 한 잔으로 에너지를 정화해 봐.,새벽 공기 / 라벤더,2026-03-07 11:06:35
여사제,The High Priestess,정위치,갓벽한 직관,신비로운 블루 바이브가 느껴지니? 지금 유니버스가 너에게만 보내는 시그널을 캐치할 타임이야. 겉으로 드러난 소음보다는 네 내면의 고요한 에너지 리딩에 집중해봐. 여사제 카드는 네 안에 이미 모든 정답이 있다는 걸 알려주고 있어. 굳이 애써 증명하지 않아도 네 우아한 아우라와 통찰력은 폼 미쳤으니까. 지금은 딥한 셀프러브로 네 영혼을 채울 때!,디지털 디톡스하고 명상이나 일기로 네 진짜 마음을 들여다봐. 네 촉이 곧 정답이니까 남의 말에 휘둘리지 말고 '마이웨이'를 믿어봐!,인디고 블루 / 정적인 평온함,2026-03-07 11:12:28
컵 여왕,Queen of Cups,역위치,셀프러브 타임,지금 이 카드는 유니버스가 보내는 강력한 휴식 시그널! 남들의 감정 바이브를 맞추느라 정작 내 마음의 배터리가 방전되진 않았어? 역위치의 컵 여왕은 이제 그 넘치는 사랑을 '나'에게 올인하라는 힙한 리셋 신호야. 감정의 파도에 휘쓸리기보다 네 내면의 오아시스를 다시 채우는 시간이 필요해. 너의 감수성은 여전히 폼 미쳤으니까 걱정 마!,남의 고민 상담은 잠시 비행기 모드! 좋아하는 플레이리스트와 함께 혼자만의 감성 카페 투어로 에너지를 리딩해봐. 네 마음이 1순위야.,"인디고 블루, 고요함",2026-03-07 11:19:50
펜타클 4,4 of Pentacles,역위치,집착 로그아웃,"꽉 쥐고 있던 손을 펴는 순간, 더 큰 우주가 네 손을 잡으러 올 거야. 펜타클 4 역위치는 무거운 소유욕을 내려놓고 진정한 자유를 만끽하는 리셋 타임! 고여있던 에너지가 순환하면서 새로운 기회와 사람들이 네 바이브 안으로 스며들기 시작해. 비워낸 만큼 더 힙한 것들로 채워질 거라는 유니버스의 확실한 시그널이니까 걱정 말고 마음껏 오픈해 봐.",안 쓰는 앱 삭제하고 서랍 정리하기! 셀프러브의 시작은 낡은 에너지를 비우는 것부터니까. 가벼워진 만큼 네 텐션도 수직 상승할 거야.,"에메랄드 그린, 개방감",2026-03-07 13:07:05
완드 5,5 of 완드,역위치,평화로운 갓생,복잡했던 텐션 세계관은 이제 안녕! 완드 5 역위치는 유니버스가 보내는 강력한 '평화 시그널'이야. 주변의 소음이나 불필요한 경쟁 바이브가 스르르 녹아내리면서 너만의 고요한 중심이 잡히는 타이밍이지. 에너지를 낭비하던 갈등에서 벗어나 진정한 셀프러브 모드로 진입하는 리셋 타임이니까 마음껏 편안해져도 돼. 폼 미쳤다!,억지로 끼어들지 말고 한 걸음 물러나서 너만의 템포를 찾아봐. 고요함 속에서 나오는 아이디어가 진짜 네 무기야.,"파스텔 블루, 평온함",2026-03-07 13:11:50
컵 기사,Knight of Cups,정위치,로맨틱 폼 미쳤다,"너의 텐션 세계관에 달콤한 제안이 도착했어! 컵 기사는 지금 유니버스가 너에게 보내는 아주 스윗한 '플러팅 시그널'이야. 감수성 폭발하는 물 원소 에너지가 네 주변을 감싸면서, 새로운 인연이나 설레는 기회가 백마 탄 기사처럼 다가오고 있어. 네 마음의 소리에 집중하는 에너지 리딩이 필요한 타이밍! 셀프러브로 다져진 네 매력이 빛을 발할 거야.",마음이 시키는 대로 솔직하게 반응해 봐. 감성적인 영화를 보거나 좋아하는 사람에게 먼저 DM을 보내보는 것도 럭키비키한 선택!,"라이트 퍼플, 설렘",2026-03-07 13:12:48
컵 10,10 of Cups,역위치,셀프러브 리셋,"완벽한 무지개 바이브가 잠시 흐릿해졌다면? 이건 유니버스가 보내는 '나에게 집중해'라는 갓생 시그널이야! 밖에서 찾던 행복의 기준을 잠시 내려놓고, 오직 나만의 감정 주파수를 맞추는 리셋 타임이지. 타인의 시선보다 내 내면의 평화가 우선인 럭키비키한 순간이니까, 지금 이 고요한 에너지 리딩을 온전히 즐겨봐.","남들 보여주기식 행복 말고, 내가 진짜 좋아하는 최애 음식을 먹거나 혼자만의 플레이리스트로 감성 충전하며 내면의 케미를 챙겨보자!",파스텔 퍼플 / 평온함,2026-03-07 13:17:12
달,The Moon,정위치,몽환적 갓생,"지금 네 마음속에 안개가 낀 것 같다고? 걱정 마, 그건 유니버스가 너에게 보내는 '딥 다이브' 시그널이야. 겉으로 보이는 정답보다 네 안의 무의식이 속삭이는 바이브에 집중해 봐. 보이지 않는 곳에서 영감이 몽글몽글 피어오르는 중이거든! 지금은 모든 게 불확실해 보여도, 사실 네 직관력이 최고조로 폼 미친 상태야. 신비로운 분위기 속에서 너만의 진실을 찾아가는 과정 자체가 이미 럭키비키!",혼란스러울 땐 그냥 그 감정을 즐겨봐. 일기를 쓰거나 명상을 하며 네 깊은 내면의 에너지 리딩을 해보는 걸 추천! 정답은 네 안에 있어.,"미스틱 퍼플, 직관력",2026-03-07 13:49:32
매달린사람,The Hanged Man,정위치,멈춤의 미학,"지금 잠깐 멈춰있는 것 같아도 사실 이건 유니버스가 보내는 '시야 확장' 시그널이야! 남들이 다 앞만 보고 달릴 때, 너만 아는 힙한 각도로 세상을 바라보는 중이랄까? 거꾸로 매달린 채 에너지를 리딩해 봐. 지금의 정체기는 단순한 기다림이 아니라, 너만의 유니크한 통찰력을 빌드업하는 럭키비키한 숙성 타임이야. 네 머리 위의 후광처럼 곧 아이디어가 팡 터질 텐데, 이 바이브 완전 기대되지 않아?",억지로 움직이려 하지 말고 셀프러브에 집중해 봐. 요가나 스트레칭으로 몸의 감각을 깨우며 새로운 관점을 받아들일 준비를 하는 게 베스트!,"레몬 옐로우, 인내",2026-03-07 13:50:02
완드 기사,Knight of Wands,정위치,갓생 직진폼,"지금 유니버스가 당신에게 보내는 시그널은 'Go'예요. 머뭇거릴 틈 없는 불의 에너지 리딩! 무기력했던 어제는 잊고, 하고 싶은 일에 열정 한 스푼 얹어 풀액셀 밟아보세요. 당신만의 독보적인 바이브로 무대를 찢어버릴 타이밍이에요. 지금 그 설렘은 단순한 기분 탓이 아니라, 당신의 아우라가 확장되고 있다는 증거니까요.","생각은 짧게, 행동은 힙하게! 고민하느라 골든타임 놓치지 말고 지금 당장 DM을 보내거나 프로젝트 버튼을 누르세요. 당신의 직관이 곧 정답입니다.",오렌지 레드 / 뜨거운 열망,2026-03-07 13:53:48
완드 3,3 of Wands,역위치,내면 리셋 타임,밖으로만 향하던 시선을 나에게로 돌려야 할 때! 지금 일이 더디게 풀리는 건 유니버스가 보내는 '잠시 멈춤' 시그널이에요. 무작정 달리기보다 내 영혼의 바이브를 재점검하라는 뜻이죠. 외부의 피드백보다는 내 안의 목소리에 집중하는 셀프러브가 필요한 타이밍! 에너지를 비축하면 더 큰 세계가 열릴 거예요.,계획이 틀어졌다고 속상해 마세요. 지금은 시야를 넓히기 위한 빌드업 과정! 휴대폰을 내려놓고 혼자만의 리셋 타임을 가져보길 추천해요.,딥 블루 / 고요함,2026-03-07 13:54:19
완드 8,8 of Wands,정위치,초고속 로딩,"하늘에서 여덟 개의 완드가 쏟아지는 이 바이브, 보이지? 지금 유니버스가 너에게 보내는 시그널은 바로 '스피드'야. 정체되었던 일들이 한꺼번에 풀리면서 텐션이 수직 상승하는 중! 예상치 못한 DM이나 기분 좋은 소식이 빛의 속도로 도착할 거야. 망설임은 사치, 지금 이 흐름을 타고 너의 세계관을 확장할 타이밍이야. 폼 미쳤다!","답장은 칼답으로, 결정은 직관적으로! 지금 들어오는 에너지는 타이밍이 생명이니까 고민보다 GO를 외쳐봐. 셀프러브를 위한 빠른 갓생 전환이 필요해.","스카이 블루, 공기",2026-03-07 14:15:26
