ilju_a,ilju_b,케미_점수,케미_타입,종합_분석,연애_스타일,주의_포인트,럭키_데이트,생성시각
甲子(갑자),丙寅(병인),92,성장형 갓생 커플,"든든한 뿌리를 가진 갑자(A)와 열정 만렙 병인(B)의 만남! 수생목, 목생화로 이어지는 에너지 흐름이 미쳤어요. 갑자가 안정감을 주면 병인이 텐션을 끌어올리는 환상의 시너지죠. 서로의 커리어를 응원하며 함께 레벨업하는 소울메이트 각! 서로가 서로를 빛나게 해주는 고자극 순정 조합이에요.",누구보다 갓생에 진심인 두 사람! 평일엔 각자 열일하고 주말엔 핫플에서 힙하게 에너지 충전하는 바이브예요. 대화가 잘 통하는 지적인 데이트를 선호해요.,둘 다 에너지가 넘쳐서 가끔은 휴식이 필요해요! 가끔은 아무것도 안 하는 '멍 때리기 타임'을 공유하면 서로의 배터리가 더 완벽하게 충전될 거예요.,"독서 모임, 루프탑 바, 팝업스토어",2026-03-06 23:52:45
甲子(갑자),辛未(신미),82,단짠단짠 케미,곧게 뻗은 나무 갑자(A)와 반짝이는 보석 신미(B)의 만남! 서로 다른 매력이 자극제가 되는 성장형 세계관이에요. 갑자가 든든한 버팀목이 되어주면 신미가 섬세한 감각으로 일상을 화려하게 메이크오버해주는 시너지가 미쳤다! 서로의 다름을 '힙함'으로 승화시키는 텐션이 돋보이는 커플입니다.,은근한 밀당과 텐션이 오가는 멜로 영화 바이브! 가끔 티격태격해도 그게 다 애정 표현인 거 아시죠? 같이 있으면 시간 순삭되는 소울메이트 각이에요.,서로의 리듬이 다를 땐 억지로 맞추기보다 '개취 존중' 스탠스를 유지해 보세요! 각자의 개성을 쿨하게 인정해줄 때 연애 레벨이 급상승합니다.,"미술관 투어, 재즈바, 호캉스",2026-03-06 23:53:33
甲子(갑자),丙子(병자),88,쌍방 힐링 케미,"청량한 나무 갑자(A)와 화사한 태양 병자(B)가 만났으니 시너지 미쳤다! 둘 다 발밑에 차가운 물을 품고 있어 서로의 고충을 누구보다 잘 아는 공감 만렙 커플이에요. 나무가 태양을 보고 쑥쑥 자라듯, 서로를 덕질하며 함께 성장하는 서사가 완벽한 소울메이트 각! 따뜻하고 몽글몽글한 텐션 세계관이 펼쳐집니다.",같이 있으면 세상 무해한 힐링 바이브! 자극적인 것보다 편안한 대화와 감성 공유를 즐기는 서정적인 무드예요. 서로의 팬 1호가 되어주는 찐사랑 스타일!,"둘 다 생각이 깊어서 가끔 고민에 빠질 수 있어요. 그럴 땐 딥한 대화도 좋지만, 가볍게 몸을 움직이는 활동으로 에너지를 환기하면 텐션 유지에 개이득!","LP 바, 전시회 관람, 밤산책",2026-03-06 23:54:16
甲子(갑자),辛巳(신사),78,갓생 밀당 케미,"든든한 리더십의 갑자(A)와 반짝이는 센스쟁이 신사(B)의 만남! 나무와 금의 조합이라 처음엔 텐션 세계관이 충돌하는 듯해도, 사실 서로의 부족한 점을 귀신같이 채워주는 성장형 커플이에요. 신사의 톡톡 튀는 아이디어가 갑자의 추진력을 만나면 시너지 미쳤다! 서로 자극을 주며 갓생 사는 모습이 딱 인스타 릴스 각이죠.",서로의 커리어나 취미를 존중하는 쿨하고 힙한 바이브! 같이 있을 땐 누구보다 치열하게 토론하다가도 금방 사르르 녹는 반전 매력의 데이트를 즐겨요.,둘 다 자기 주관이 뚜렷해서 가끔 고집부릴 수 있어요! 그럴 땐 '오히려 좋아' 마인드로 상대의 의견을 트렌드라 생각해주면 찐사랑 지수 급상승!,"팝업스토어 웨이팅, 테니스, 코인노래방",2026-03-06 23:55:04
甲子(갑자),丙戌(병술),95,햇살 맛집 케미,차분하고 든든한 나무 갑자(A)와 따스한 가을 햇살 병술(B)의 만남! 나무가 태양을 만나 쑥쑥 자라는 '목생화' 시너지 미쳤다! 갑자가 뿌리 깊게 중심을 잡아주면 병술이 화려하게 꽃을 피워주는 환상의 서사예요. 서로의 존재만으로도 자존감 팍팍 올라가는 찐사랑 텐션 세계관 확정!,보기만 해도 훈훈함 터지는 정석적인 커플 바이브! 서로의 일상을 공유하며 소소한 행복을 찾는 힐링형 데이트를 즐겨요. 주변에서 '결혼 각'이라는 소리 좀 들을걸요?,둘 다 에너지가 넘쳐서 가끔은 각자의 동굴이 필요할 수 있어요! 서로의 프라이버시를 '쿨'하게 존중해주면 신뢰도 200% 상승하며 관계가 더 갓벽해집니다.,"노을 맛집 루프탑, 캠핑 불멍, 가로수길 카페 투어",2026-03-06 23:55:42
甲子(갑자),辛卯(신묘),72,고농축 성장 케미,"든든한 리더 갑자(A)와 트렌디한 감성 장인 신묘(B)의 만남! 나무와 나무가 만나 숲을 이루려는 찰나, 신묘의 톡톡 튀는 금(金) 에너지가 기분 좋은 긴장감을 줘요. 서로의 개성이 뚜렷해서 배울 점이 넘쳐나는 '성장형 커플'의 정석! 텐션 세계관이 확장되면서 서로의 커리어나 취향을 업그레이드해주는 시너지가 미쳤다!",각자의 뚜렷한 취향을 공유하며 갓생 사는 커플 바이브! 힙한 편집숍이나 전시회를 다니며 서로의 인생샷을 남겨주는 감각적인 데이트가 일상이에요.,둘 다 에너지가 확실해서 가끔은 부드러운 유연함이 필요해요! '네 말이 다 맞지'라는 마인드로 리액션만 잘해줘도 찐사랑 텐션 무한 유지 가능!,"성수동 팝업스토어, 테니스 원데이클래스",2026-03-06 23:56:33
甲子(갑자),丙申(병신),94,하이텐션 갓벽 조합,든든한 뿌리 갑자(A)와 화려한 태양 병신(B)의 만남! 나무가 태양을 보고 쑥쑥 자라는 '목생화' 시너지가 미쳤다! 갑자가 중심을 딱 잡아주면 병신이 톡톡 튀는 텐션으로 분위기를 하드캐리해요. 서로의 에너지가 만나 물 흐르듯 순환하는 구조라 소울메이트 각 제대로 섰습니다. 보기만 해도 폼 미친 케미 폭발 커플!,"어디서든 주인공이 되는 화려한 바이브! 힙한 핫플 도장 깨기는 기본이고, 서로의 인생샷을 찍어주며 릴스 감성 낭낭하게 채우는 고자극 데이트 스타일이에요.",병신의 넘치는 열정을 갑자가 차분하게 받아주는 여유가 필요해요! 서로의 다름을 '힙한 매력'으로 리액션해주면 찐사랑 텐션 평생 유지 가능!,"페스티벌 투어, 루프탑 라운지, 와인 바",2026-03-06 23:57:21
甲子(갑자),辛丑(신축),96,운명적 껌딱지,시원한 나무 갑자(A)와 반짝이는 보석 신축(B)의 만남은 그야말로 자석 같은 끌림! 지지에서 자(子)와 축(丑)이 만나 찰떡처럼 붙어버리니 '찐사랑' 텐션 세계관이 열렸어요. 서로의 부족한 온기를 채워주는 완벽한 상생 구조라 시간이 갈수록 깊어지는 시너지가 미쳤다! 서로에게 안착하는 안정감이 역대급이에요.,둘만 아는 아지트에서 꽁냥거리는 로맨틱 바이브! 겉으로는 쿨해 보여도 속은 따끈한 반전 매력 커플이에요. 서로의 고민을 밤새 들어주며 소울메이트 각 제대로 세우는 스타일!,가끔은 너무 딱 붙어 있어서 개인 시간이 필요할지도? 서로의 '혼자만의 시간'을 힙하게 리스펙트해주면 애정 전선에 더 불꽃 튈 거예요!,"프라이빗 영화관, 심야 드라이브, 오마카세",2026-03-06 23:58:09
甲子(갑자),丙午(병오),88,극강 텐션 커플,차분한 갓생러 갑자 일주와 에너제틱한 핫가이/핫걸 병오 일주의 만남! 나무와 태양처럼 서로를 환하게 비추는 시너지가 미쳤어요. 정반대 성향이라 오히려 서로에게 없는 매력에 스며드는 ‘자석 같은 관계’죠. 뜨거운 열정과 시원한 휴식이 공존하는 완벽한 밸런스 게임 같은 텐션 세계관을 보여줍니다.,낮에는 힙한 팝업 스토어를 털고 밤에는 딥토크로 밤새는 롤러코스터 바이브! 서로의 일상을 180도 바꿔주는 반전 매력에 찐사랑 모먼트가 폭발해요.,서로의 온도 차가 클 땐 '개취 존중' 타임을 가져보세요! 각자의 속도를 인정해 주는 성숙한 마인드만 있다면 역대급 성장형 케미 완성입니다.,"페스티벌 직관, 심야 드라이브, 루프탑 바",2026-03-06 23:58:53
甲子(갑자),辛亥(신해),92,갓벽 힐링 케미,듬직한 큰 나무 갑자와 반짝이는 보석 신해가 만난 소울메이트 각! 서로의 감성을 찰떡같이 알아채는 공감 능력이 미쳤어요. 촉촉한 물의 기운이 두 사람을 감싸줘서 같이 있기만 해도 에너지 충전 완료! 서로를 성장시키는 시너지 덕분에 연애 만족도 최상인 텐션 세계관입니다.,감성 카페 투어하면서 인생샷 남겨주는 몽글몽글한 분위기! 조용히 눈만 마주쳐도 대화가 통하는 찐사랑 바이브예요.,가끔은 솔직한 돌직구 표현도 필요해요! 서로 배려하다가 속마음을 숨기기보다 '오늘 기분'을 쿨하게 공유하면 케미 폭발!,"LP 바, 미술관 데이트, 호캉스",2026-03-06 23:59:38
甲子(갑자),丙辰(병진),95,갓생 커플,똑똑한 갑자 나무가 따스한 병진 태양을 만나 쑥쑥 자라는 시너지 미친 조합! 병진의 든든한 흙 기운이 갑자의 뿌리를 꽉 잡아주니 안정감 대박이에요. 서로가 서로에게 비타민이 되어주는 관계라 함께 있으면 운빨까지 상승하는 소울메이트 각! 텐션 세계관이 아주 훈훈합니다.,서로의 커리어를 응원하며 함께 성장하는 '갓생' 모드! 세련된 편집샵을 구경하거나 테라스 카페에서 미래를 그리는 스마트한 바이브예요.,가끔은 논리보다 감성이 우선! 너무 옳은 말만 하기보다 서로의 기분을 먼저 물어봐 주는 센스만 챙기면 찐사랑 유효기간 무제한!,"전시회 관람, 쇼룸 투어, 브런치 맛집",2026-03-07 00:00:17
甲子(갑자),辛酉(신유),72,자극제 케미,"곧게 뻗은 대나무 갑자와 힙한 다이아몬드 신유의 만남! 서로의 선명한 주관이 부딪힐 때마다 도파민 터지는 성장형 케미예요. 신유의 섬세한 피드백이 갑자의 잠재력을 깎아주니, 함께할수록 서로의 폼이 미쳐버리는 텐션 세계관! 서로의 다름이 오히려 갓생을 자극하는 찐 시너지 조합입니다.",각자 할 일 하다가 힙당동 맛집에서 만나는 쿨한 바이브! 서로의 커리어를 리스펙하며 영감을 주고받는 스마트한 연애 스타일이에요.,가끔은 팩폭보다 부드러운 칭찬 한 스푼! 날카로운 조언 대신 따뜻한 포옹으로 녹여주면 소울메이트 각 제대로 잡힙니다.,"팝업 스토어, 재즈 바, 테니스 데이트",2026-03-07 00:00:57
乙丑(을축),丙寅(병인),89,햇살 듬뿍 케미,"차분하고 끈기 있는 을축 초원이 화끈한 병인 태양을 만난 격! 병인의 에너지가 을축의 잠재력을 풀충전 시켜주니 시너지 미쳤다 소리 절로 나와요. 서로의 부족한 텐션을 채워주는 완벽한 상생 바이브로, 함께 있을 때 가장 나다워질 수 있는 소울메이트 각입니다.",병인이 리드하고 을축이 든든하게 서포트하는 갓벽한 티키타카! 왁자지껄한 핫플 데이트와 정적인 힐링 타임을 넘나드는 유연한 연애 세계관이에요.,가끔 병인의 열정이 과할 땐 을축의 여유 한 스푼이 필요해요. 서로의 속도 차이를 '다이나믹한 매력'으로 즐기면 찐사랑 모드 유지 가능!,"식물원 카페, 야구장 직관, 루프탑 피크닉",2026-03-07 00:01:44
乙丑(을축),辛未(신미),78,밀당 천재 커플,"끈기 있는 을축과 엣지 있는 신미의 만남! 서로 다른 토양 위에 핀 꽃과 보석처럼, 부딪힐수록 광이 나는 성장형 케미예요. 서로의 가치관이 뚜렷해서 대화할 때마다 새로운 세계관이 열리는 기분! 다름을 매력으로 승화시키는 텐션이 아주 쫄깃합니다.",서로의 취향을 존중하면서도 은근히 경쟁하는 갓생 연애! 힙한 전시를 보고 나서 서로 다른 감상평으로 티키타카 나누는 지적인 바이브가 폭발해요.,가끔 고집이 발동할 땐 '그럴 수 있지' 주문을 외워보세요! 유연한 태도 한 스푼만 더하면 시너지 미쳤다 소리 절로 나오는 소울메이트 등극!,"팝업 스토어, 심야 드라이브, 와인 바",2026-03-07 00:02:28
乙丑(을축),丙子(병자),94,인생 짝꿍 케미,차분한 외유내강 을축과 톡톡 튀는 비타민 병자의 만남! 을축의 든든한 대지가 병자의 밝은 햇살을 받아 꽃을 피우는 형상이라 시너지 미쳤다 소리 절로 나와요. 서로의 부족한 텐션을 채워주는 완벽한 티키타카 덕분에 같이 있으면 세상 무서울 게 없는 소울메이트 각! 안정감과 설렘이 공존하는 갓벽한 세계관입니다.,을축이 묵묵히 챙겨주면 병자가 하이텐션으로 화답하는 힐링 바이브! 세련된 카페에서 딥토크하다가 갑자기 인생샷 찍어주는 무드예요.,"병자의 불꽃 텐션에 을축이 가끔 방전될 수 있으니, 함께 멍 때리는 '정적 타임'도 챙겨주세요. 이것만 지키면 찐사랑 유효기간 무제한!","LP 바, 야경 드라이브, 감성 스테이",2026-03-07 00:03:08
